Global Part #,Reference,C/S (MM),I.D. (MM)
3.00X079,3x79,3,79
3.00X080,3x80,3,80
3.00X081,3x81,3,81
3.00X082,3x82,3,82
3.00X083,3x83,3,83
3.00X084,3x84,3,84
3.00X085,3x85,3,85
3.00X086,3x86,3,86
3.00X088,3x88,3,88
3.00X090,3x90,3,90
3.00X091,3x91,3,91
3.00X092,3x92,3,92
3.00X093,3x93,3,93
3.00X095,3x95,3,95
3.00X098,3x98,3,98
3.00X099,3x99,3,99
3.00X100,3x100,3,100
3.00X102,3x102,3,102
3.00X105,3x105,3,105
3.00X106.5,3x106.5,3,106.5
3.00X110,3x110,3,110
3.00X112,3x112,3,112
3.00X113,3x113,3,113
3.00X115,3x115,3,115
3.00X116,3x116,3,116
3.00X118,3x118,3,118
3.00X120,3x120,3,120
3.00X121,3x121,3,121
3.00X124,3x124,3,124
3.00X125,3x125,3,125
3.00X126,3x126,3,126
3.00X130,3x130,3,130
3.00X132,3x132,3,132
3.00X133,3x133,3,133
3.00X135,3x135,3,135
3.00X137,3x137,3,137
3.00X138,3x138,3,138
3.00X140,3x140,3,140
3.00X141.5,3x141.5,3,141.5
3.00X142,3x142,3,142
3.00X145,3x145,3,145
3.00X146,3x146,3,146
3.00X148,3x148,3,148
3.00X150,3x150,3,150
3.00X152,3x152,3,152
3.00X155,3x155,3,155
3.00X160,3x160,3,160
3.00X162,3x162,3,162
3.00X165,3x165,3,165
3.00X170,3x170,3,170
3.00X172,3x172,3,172
3.00X173,3x173,3,173
3.00X174,3x174,3,174
3.00X175,3x175,3,175
3.00X180,3x180,3,180
3.00X182,3x182,3,182
3.00X183.5,3x183.5,3,183.5
3.00X184,3x184,3,184
3.00X185,3x185,3,185
3.00X188,3x188,3,188
3.00X189,3x189,3,189
3.00X190,3x190,3,190
3.00X194,3x194,3,194
3.00X195,3x195,3,195
3.00X200,3x200,3,200
3.00X203,3x203,3,203
3.00X205,3x205,3,205
3.00X210,3x210,3,210
3.00X215,3x215,3,215
3.00X220,3x220,3,220
3.00X222,3x222,3,222
3.00X225,3x225,3,225
3.00X230,3x230,3,230
3.00X232,3x232,3,232
3.00X235,3x235,3,235
3.00X237,3x237,3,237
3.00X240,3x240,3,240
3.00X242,3x242,3,242
3.00X245,3x245,3,245
3.00X247,3x247,3,247
3.00X250,3x250,3,250
3.00X254.5,3x254.5,3,254.5
3.00X255,3x255,3,255
3.00X257,3x257,3,257
3.00X260,3x260,3,260
3.00X264,3x264,3,264
3.00X265,3x265,3,265
3.00X270,3x270,3,270
3.00X274,3x274,3,274
3.00X275,3x275,3,275
3.00X280,3x280,3,280
3.00X287,3x287,3,287
3.00X290,3x290,3,290
3.00X300,3x300,3,300
3.00X305,3x305,3,305
3.00X310,3x310,3,310
3.00X330,3x330,3,330
3.00X335,3x335,3,335
3.00X340,3x340,3,340
3.00X354,3x354,3,354
3.00X360,3x360,3,360
3.00X370,3x370,3,370
3.00X390,3x390,3,390
3.00X410,3x410,3,410
3.00X421.5,3x421.5,3,421.5
3.00X425,3x425,3,425
3.00X450,3x450,3,450
3.00X500,3x500,3,500
3.00X542,3x542,3,542
4.00X004,4x4,4,4
4.00X005,4x5,4,5
4.00X006,4x6,4,6
4.00X007,4x7,4,7
4.00X008,4x8,4,8
4.00X009,4x9,4,9
4.00X010,4x10,4,10
4.00X011,4x11,4,11
4.00X012,4x12,4,12
4.00X013,4x13,4,13
4.00X014,4x14,4,14
4.00X014.5,4x14.5,4,14.5
4.00X015,4x15,4,15
4.00X015.5,4x15.5,4,15.5
4.00X016,4x16,4,16
4.00X017,4x17,4,17
4.00X018,4x18,4,18
4.00X019,4x19,4,19
4.00X019.5,4x19.5,4,19.5
4.00X020,4x20,4,20
4.00X021,4x21,4,21
4.00X022,4x22,4,22
4.00X023,4x23,4,23
4.00X024,4x24,4,24
4.00X025,4x25,4,25
4.00X026,4x26,4,26
4.00X027,4x27,4,27
4.00X027.5,4x27.5,4,27.5
4.00X028,4x28,4,28
4.00X029,4x29,4,29
4.00X030,4x30,4,30
4.00X031,4x31,4,31
4.00X032,4x32,4,32
4.00X033,4x33,4,33
4.00X033.5,4x33.5,4,33.5
4.00X034,4x34,4,34
4.00X035,4x35,4,35
4.00X036,4x36,4,36
4.00X037,4x37,4,37
4.00X038,4x38,4,38
4.00X039,4x39,4,39
4.00X040,4x40,4,40
4.00X041,4x41,4,41
4.00X042,4x42,4,42
4.00X043,4x43,4,43
4.00X044,4x44,4,44
4.00X045,4x45,4,45
4.00X046,4x46,4,46
4.00X047,4x47,4,47
4.00X048,4x48,4,48
4.00X049,4x49,4,49
4.00X050,4x50,4,50
4.00X051,4x51,4,51
4.00X052,4x52,4,52
4.00X053,4x53,4,53
4.00X054,4x54,4,54
4.00X055,4x55,4,55
4.00X056,4x56,4,56
4.00X057,4x57,4,57
4.00X058,4x58,4,58
4.00X059,4x59,4,59
4.00X060,4x60,4,60
4.00X061,4x61,4,61
4.00X062,4x62,4,62
4.00X063,4x63,4,63
4.00X064,4x64,4,64
4.00X065,4x65,4,65
4.00X066,4x66,4,66
4.00X067,4x67,4,67
4.00X068,4x68,4,68
4.00X069,4x69,4,69
4.00X069.5,4x69.5,4,69.5
4.00X070,4x70,4,70
4.00X071,4x71,4,71
4.00X072,4x72,4,72
4.00X073,4x73,4,73
4.00X074,4x74,4,74
4.00X075,4x75,4,75
4.00X076,4x76,4,76
4.00X077,4x77,4,77
4.00X078,4x78,4,78
4.00X079,4x79,4,79
4.00X080,4x80,4,80
4.00X081,4x81,4,81
4.00X082,4x82,4,82
4.00X083,4x83,4,83
4.00X084,4x84,4,84
4.00X085,4x85,4,85
4.00X086,4x86,4,86
4.00X087,4x87,4,87
4.00X088,4x88,4,88
4.00X089,4x89,4,89
4.00X090,4x90,4,90
4.00X090.5,4x90.5,4,90.5
4.00X091,4x91,4,91
4.00X092,4x92,4,92
4.00X093,4x93,4,93
4.00X094,4x94,4,94
4.00X095,4x95,4,95
4.00X096,4x96,4,96
4.00X097,4x97,4,97
4.00X098,4x98,4,98
4.00X099,4x99,4,99
4.00X100,4x100,4,100
4.00X101,4x101,4,101
4.00X102,4x102,4,102
4.00X103,4x103,4,103
4.00X104,4x104,4,104
4.00X105,4x105,4,105
4.00X106,4x106,4,106
4.00X107,4x107,4,107
4.00X108,4x108,4,108
4.00X109,4x109,4,109
4.00X110,4x110,4,110
4.00X112,4x112,4,112
4.00X113,4x113,4,113
4.00X115,4x115,4,115
4.00X116,4x116,4,116
4.00X117,4x117,4,117
4.00X118,4x118,4,118
4.00X119,4x119,4,119
4.00X120,4x120,4,120
4.00X125,4x125,4,125
4.00X128.5,4x128.5,4,128.5
4.00X130,4x130,4,130
4.00X133,4x133,4,133
4.00X134,4x134,4,134
4.00X135,4x135,4,135
4.00X139,4x139,4,139
4.00X140,4x140,4,140
4.00X140.5,4x140.5,4,140.5
4.00X145,4x145,4,145
4.00X146,4x146,4,146
4.00X150,4x150,4,150
4.00X155,4x155,4,155
4.00X157,4x157,4,157
4.00X160,4x160,4,160
4.00X164,4x164,4,164
4.00X165,4x165,4,165
4.00X166,4x166,4,166
4.00X170,4x170,4,170
4.00X172,4x172,4,172
4.00X175,4x175,4,175
4.00X177,4x177,4,177
4.00X180,4x180,4,180
4.00X185,4x185,4,185
4.00X187.5,4x187.5,4,187.5
4.00X190,4x190,4,190
4.00X193.5,4x193.5,4,193.5
4.00X195,4x195,4,195
4.00X196,4x196,4,196
4.00X200,4x200,4,200
4.00X201,4x201,4,201
4.00X202,4x202,4,202
4.00X205,4x205,4,205
4.00X209,4x209,4,209
4.00X210,4x210,4,210
4.00X215,4x215,4,215
4.00X220,4x220,4,220
4.00X221,4x221,4,221
4.00X225,4x225,4,225
4.00X227,4x227,4,227
4.00X230,4x230,4,230
4.00X235,4x235,4,235
4.00X238,4x238,4,238
4.00X240,4x240,4,240
4.00X242,4x242,4,242
4.00X245,4x245,4,245
4.00X246,4x246,4,246
4.00X250,4x250,4,250
4.00X255,4x255,4,255
4.00X260,4x260,4,260
4.00X263,4x263,4,263
4.00X265,4x265,4,265
4.00X270,4x270,4,270
4.00X274.5,4x274.5,4,274.5
4.00X275,4x275,4,275
4.00X276,4x276,4,276
4.00X280,4x280,4,280
4.00X283,4x283,4,283
4.00X285,4x285,4,285
4.00X290,4x290,4,290
4.00X294,4x294,4,294
4.00X295,4x295,4,295
4.00X297,4x297,4,297
4.00X300,4x300,4,300
4.00X305,4x305,4,305
4.00X310,4x310,4,310
4.00X315,4x315,4,315
4.00X316,4x316,4,316
4.00X320,4x320,4,320
4.00X325,4x325,4,325
4.00X330,4x330,4,330
4.00X335,4x335,4,335
4.00X340,4x340,4,340
4.00X345,4x345,4,345
4.00X350,4x350,4,350
4.00X355,4x355,4,355
4.00X360,4x360,4,360
4.00X365,4x365,4,365
4.00X370,4x370,4,370
4.00X373,4x373,4,373
4.00X375,4x375,4,375
4.00X380,4x380,4,380
4.00X393,4x393,4,393
4.00X400,4x400,4,400
4.00X402,4x402,4,402
4.00X416,4x416,4,416
4.00X420,4x420,4,420
4.00X425,4x425,4,425
4.00X430,4x430,4,430
4.00X435,4x435,4,435
4.00X439.5,4x439.5,4,439.5
4.00X450,4x450,4,450
4.00X460,4x460,4,460
4.00X490,4x490,4,490
4.00X550,4x550,4,550
4.00X560,4x560,4,560
4.00X582,4x582,4,582
5.00X004,5x4,5,4
5.00X006,5x6,5,6
5.00X007,5x7,5,7
5.00X008,5x8,5,8
5.00X009,5x9,5,9
5.00X010,5x10,5,10
5.00X011,5x11,5,11
5.00X012,5x12,5,12
5.00X013,5x13,5,13
5.00X014,5x14,5,14
5.00X015,5x15,5,15
5.00X016,5x16,5,16
5.00X017,5x17,5,17
5.00X018,5x18,5,18
5.00X019,5x19,5,19
5.00X020,5x20,5,20
5.00X021,5x21,5,21
5.00X022,5x22,5,22
5.00X023,5x23,5,23
5.00X023.5,5x23.5,5,23.5
5.00X024,5x24,5,24
5.00X025,5x25,5,25
5.00X026,5x26,5,26
5.00X027,5x27,5,27
5.00X028,5x28,5,28
5.00X029,5x29,5,29
5.00X030,5x30,5,30
5.00X031,5x31,5,31
5.00X032,5x32,5,32
5.00X033,5x33,5,33
5.00X034,5x34,5,34
5.00X035,5x35,5,35
5.00X036,5x36,5,36
5.00X037,5x37,5,37
5.00X038,5x38,5,38
5.00X039,5x39,5,39
5.00X040,5x40,5,40
5.00X041,5x41,5,41
5.00X042,5x42,5,42
5.00X043,5x43,5,43
5.00X044,5x44,5,44
5.00X045,5x45,5,45
5.00X046,5x46,5,46
5.00X047,5x47,5,47
5.00X048,5x48,5,48
5.00X049,5x49,5,49
5.00X050,5x50,5,50
5.00X051,5x51,5,51
5.00X052,5x52,5,52
5.00X053,5x53,5,53
5.00X054,5x54,5,54
5.00X055,5x55,5,55
5.00X056,5x56,5,56
5.00X057,5x57,5,57
5.00X058,5x58,5,58
5.00X059,5x59,5,59
5.00X059.5,5x59.5,5,59.5
5.00X060,5x60,5,60
5.00X061,5x61,5,61
5.00X062,5x62,5,62
5.00X063,5x63,5,63
5.00X064,5x64,5,64
5.00X065,5x65,5,65
5.00X066,5x66,5,66
5.00X067,5x67,5,67
5.00X067.5,5x67.5,5,67.5
5.00X068,5x68,5,68
5.00X069,5x69,5,69
5.00X070,5x70,5,70
5.00X071,5x71,5,71
5.00X072,5x72,5,72
5.00X073,5x73,5,73
5.00X074,5x74,5,74
5.00X075,5x75,5,75
5.00X076,5x76,5,76
5.00X077,5x77,5,77
5.00X078,5x78,5,78
5.00X079,5x79,5,79
5.00X080,5x80,5,80
5.00X080.5,5x80.5,5,80.5
5.00X081,5x81,5,81
5.00X082,5x82,5,82
5.00X083,5x83,5,83
5.00X084,5x84,5,84
5.00X085,5x85,5,85
5.00X086,5x86,5,86
5.00X087,5x87,5,87
5.00X088,5x88,5,88
5.00X089,5x89,5,89
5.00X090,5x90,5,90
5.00X091,5x91,5,91
5.00X092,5x92,5,92
5.00X093,5x93,5,93
5.00X094,5x94,5,94
5.00X095,5x95,5,95
5.00X096,5x96,5,96
5.00X097,5x97,5,97
5.00X098,5x98,5,98
5.00X099,5x99,5,99
5.00X100,5x100,5,100
5.00X102,5x102,5,102
5.00X105,5x105,5,105
5.00X106,5x106,5,106
5.00X109,5x109,5,109
5.00X110,5x110,5,110
5.00X115,5x115,5,115
5.00X117,5x117,5,117
5.00X120,5x120,5,120
5.00X125,5x125,5,125
5.00X130,5x130,5,130
5.00X135,5x135,5,135
5.00X137,5x137,5,137
5.00X140,5x140,5,140
5.00X145,5x145,5,145
5.00X150,5x150,5,150
5.00X153,5x153,5,153
5.00X155,5x155,5,155
5.00X160,5x160,5,160
5.00X161,5x161,5,161
5.00X165,5x165,5,165
5.00X166,5x166,5,166
5.00X170,5x170,5,170
5.00X175,5x175,5,175
5.00X178,5x178,5,178
5.00X180,5x180,5,180
5.00X185,5x185,5,185
5.00X190,5x190,5,190
5.00X195,5x195,5,195
5.00X200,5x200,5,200
5.00X205,5x205,5,205
5.00X206,5x206,5,206
5.00X210,5x210,5,210
5.00X215,5x215,5,215
5.00X220,5x220,5,220
5.00X225,5x225,5,225
5.00X228,5x228,5,228
5.00X230,5x230,5,230
5.00X235,5x235,5,235
5.00X238,5x238,5,238
5.00X240,5x240,5,240
5.00X245,5x245,5,245
5.00X250,5x250,5,250
5.00X255,5x255,5,255
5.00X258,5x258,5,258
5.00X260,5x260,5,260
5.00X265,5x265,5,265
5.00X270,5x270,5,270
5.00X275,5x275,5,275
5.00X280,5x280,5,280
5.00X283,5x283,5,283
5.00X285,5x285,5,285
5.00X290,5x290,5,290
5.00X294,5x294,5,294
5.00X295,5x295,5,295
5.00X297,5x297,5,297
5.00X300,5x300,5,300
5.00X305,5x305,5,305
5.00X310,5x310,5,310
5.00X315,5x315,5,315
5.00X320,5x320,5,320
5.00X325,5x325,5,325
5.00X330,5x330,5,330
5.00X335,5x335,5,335
5.00X336,5x336,5,336
5.00X340,5x340,5,340
5.00X345,5x345,5,345
5.00X350,5x350,5,350
5.00X355,5x355,5,355
5.00X358,5x358,5,358
5.00X360,5x360,5,360
5.00X365,5x365,5,365
5.00X370,5x370,5,370
5.00X375,5x375,5,375
5.00X380,5x380,5,380
5.00X385,5x385,5,385
5.00X390,5x390,5,390
5.00X395,5x395,5,395
5.00X398,5x398,5,398
5.00X400,5x400,5,400
5.00X405,5x405,5,405
5.00X410,5x410,5,410
5.00X415,5x415,5,415
5.00X420,5x420,5,420
5.00X425,5x425,5,425
5.00X430,5x430,5,430
5.00X435,5x435,5,435
5.00X440,5x440,5,440
5.00X445,5x445,5,445
5.00X450,5x450,5,450
5.00X455,5x455,5,455
5.00X460,5x460,5,460
5.00X465,5x465,5,465
5.00X470,5x470,5,470
5.00X475,5x475,5,475
5.00X480,5x480,5,480
5.00X485,5x485,5,485
5.00X490,5x490,5,490
5.00X495,5x495,5,495
5.00X500,5x500,5,500
5.00X505,5x505,5,505
5.00X510,5x510,5,510
5.00X515,5x515,5,515
5.00X520,5x520,5,520
5.00X525,5x525,5,525
5.00X528,5x528,5,528
5.00X530,5x530,5,530
5.00X535,5x535,5,535
5.00X540,5x540,5,540
5.00X545,5x545,5,545
5.00X550,5x550,5,550
5.00X555,5x555,5,555
5.00X560,5x560,5,560
5.00X565,5x565,5,565
5.00X570,5x570,5,570
5.00X575,5x575,5,575
5.00X580,5x580,5,580
5.00X585,5x585,5,585
5.00X590,5x590,5,590
5.00X595,5x595,5,595
5.00X600,5x600,5,600
6.00X016,6x16,6,16
6.00X018,6x18,6,18
6.00X019,6x19,6,19
6.00X020,6x20,6,20
6.00X021,6x21,6,21
6.00X022,6x22,6,22
6.00X025,6x25,6,25
6.00X027,6x27,6,27
6.00X030,6x30,6,30
6.00X035,6x35,6,35
6.00X038,6x38,6,38
6.00X040,6x40,6,40
6.00X042,6x42,6,42
6.00X045,6x45,6,45
6.00X046,6x46,6,46
6.00X050,6x50,6,50
6.00X051,6x51,6,51
6.00X053,6x53,6,53
6.00X055,6x55,6,55
6.00X058,6x58,6,58
6.00X060,6x60,6,60
6.00X062,6x62,6,62
6.00X063,6x63,6,63
6.00X065,6x65,6,65
6.00X068,6x68,6,68
6.00X070,6x70,6,70
6.00X074,6x74,6,74
6.00X075,6x75,6,75
6.00X079,6x79,6,79
6.00X080,6x80,6,80
6.00X085,6x85,6,85
6.00X090,6x90,6,90
6.00X095,6x95,6,95
6.00X100,6x100,6,100
6.00X105,6x105,6,105
6.00X106,6x106,6,106
6.00X110,6x110,6,110
6.00X115,6x115,6,115
6.00X120,6x120,6,120
6.00X125,6x125,6,125
6.00X130,6x130,6,130
6.00X135,6x135,6,135
6.00X140,6x140,6,140
6.00X145,6x145,6,145
6.00X148,6x148,6,148
6.00X150,6x150,6,150
6.00X152,6x152,6,152
6.00X153,6x153,6,153
6.00X154,6x154,6,154
6.00X155,6x155,6,155
6.00X158,6x158,6,158
6.00X160,6x160,6,160
6.00X165,6x165,6,165
6.00X170,6x170,6,170
6.00X172,6x172,6,172
6.00X175,6x175,6,175
6.00X180,6x180,6,180
6.00X185,6x185,6,185
6.00X190,6x190,6,190
6.00X192,6x192,6,192
6.00X195,6x195,6,195
6.00X198,6x198,6,198
6.00X200,6x200,6,200
6.00X202,6x202,6,202
6.00X205,6x205,6,205
6.00X207,6x207,6,207
6.00X210,6x210,6,210
6.00X215,6x215,6,215
6.00X220,6x220,6,220
6.00X225,6x225,6,225
6.00X230,6x230,6,230
6.00X235,6x235,6,235
6.00X238,6x238,6,238
6.00X240,6x240,6,240
6.00X245,6x245,6,245
6.00X250,6x250,6,250
6.00X265,6x265,6,265
6.00X270,6x270,6,270
6.00X275,6x275,6,275
6.00X280,6x280,6,280
6.00X290,6x290,6,290
6.00X294,6x294,6,294
6.00X295,6x295,6,295
6.00X300,6x300,6,300
6.00X310,6x310,6,310
6.00X311,6x311,6,311
6.00X325,6x325,6,325
6.00X330,6x330,6,330
6.00X340,6x340,6,340
6.00X350,6x350,6,350
6.00X360,6x360,6,360
6.00X375,6x375,6,375
6.00X380,6x380,6,380
6.00X385,6x385,6,385
6.00X400,6x400,6,400
6.00X410,6x410,6,410
6.00X425,6x425,6,425
6.00X429,6x429,6,429
6.00X450,6x450,6,450
6.00X475,6x475,6,475
6.00X490,6x490,6,490
6.00X500,6x500,6,500
6.00X525,6x525,6,525
6.00X532.5,6x532.5,6,532.5
6.00X541,6x541,6,541
6.00X550,6x550,6,550
6.00X568,6x568,6,568
6.00X575,6x575,6,575
6.00X600,6x600,6,600
6.00X625,6x625,6,625
6.00X650,6x650,6,650
