Parker 5-XXX Size,CS (MM),ID (MM),CS (IN),ID (IN)
5-002,1.50,10.57,0.059,0.416
5-003,1.50,21.23,0.059,0.836
5-004,1.65,27.18,0.065,1.070
5-005,2.03,16.26,0.080,0.640
5-006,2.03,20.22,0.080,0.796
5-008,2.03,36.09,0.080,1.421
5-009,2.03,39.45,0.080,1.553
5-011,2.03,47.24,0.080,1.860
5-015,2.03,58.32,0.080,2.296
5-018,2.87,8.94,0.113,0.352
5-021,3.18,15.32,0.125,0.603
5-022,3.18,22.61,0.125,0.890
5-024,3.18,38.48,0.125,1.515
5-025,3.18,44.83,0.125,1.765
5-027,3.18,54.36,0.125,2.140
5-031,3.18,92.46,0.125,3.640
5-035,3.53,45.36,0.139,1.786
5-037,3.53,51.71,0.139,2.036
5-039,3.53,61.24,0.139,2.411
5-042,3.53,72.29,0.139,2.846
5-044,3.53,77.11,0.139,3.036
5-045,3.53,80.29,0.139,3.161
5-049,3.56,22.12,0.140,0.871
5-051,1.02,1.78,0.040,0.070
5-052,1.78,6.86,0.070,0.270
5-056,0.97,7.65,0.038,0.301
5-057,1.14,9.25,0.045,0.364
5-058,1.27,10.82,0.050,0.426
5-060,1.12,111.51,0.044,4.390
5-062,1.78,142.34,0.070,5.604
5-063,1.78,146.05,0.070,5.750
5-064,6.99,161.29,0.275,6.350
5-069,3.53,298.45,0.139,11.750
5-070,3.53,337.06,0.139,13.270
5-071,3.53,340.61,0.139,13.410
5-072,5.33,341.88,0.210,13.460
5-073,3.53,351.03,0.139,13.820
5-074,3.53,361.54,0.139,14.234
5-076,5.33,387.60,0.210,15.260
5-077,3.53,388.62,0.139,15.300
5-079,3.53,394.72,0.139,15.540
5-080,4.75,421.01,0.187,16.575
5-082,6.10,438.15,0.240,17.250
5-083,3.53,454.91,0.139,17.910
5-084,7.14,458.77,0.281,18.062
5-085,5.33,466.09,0.210,18.350
5-086,5.33,497.33,0.210,19.580
5-088,3.73,537.97,0.147,21.180
5-089,7.14,594.51,0.281,23.406
5-090,3.53,598.83,0.139,23.576
5-091,3.53,647.04,0.139,25.474
5-092,6.99,701.68,0.275,27.625
5-101,0.97,2.54,0.038,0.100
5-102,0.97,2.95,0.038,0.116
5-103,1.27,3.25,0.050,0.128
5-105,1.27,3.91,0.050,0.154
5-106,1.68,3.91,0.066,0.154
5-107,1.68,4.47,0.066,0.176
5-108,1.27,4.47,0.050,0.176
5-118,1.02,1.50,0.040,0.059
5-124,1.42,4.47,0.056,0.176
5-125,1.02,4.57,0.040,0.180
5-127,1.88,6.07,0.074,0.239
5-133,0.79,8.43,0.031,0.332
5-134,0.79,10.41,0.031,0.410
5-135,0.79,13.36,0.031,0.526
5-136,0.79,16.33,0.031,0.643
5-137,0.79,19.69,0.031,0.775
5-138,0.79,22.81,0.031,0.898
5-139,0.79,25.07,0.031,0.987
5-140,0.79,28.24,0.031,1.112
5-141,0.79,31.14,0.031,1.226
5-142,1.19,36.83,0.047,1.450
5-143,1.19,42.42,0.047,1.670
5-144,1.19,48.03,0.047,1.891
5-145,1.19,54.38,0.047,2.141
5-148,0.97,3.91,0.038,0.154
5-151,1.30,6.07,0.051,0.239
5-156,1.52,14.61,0.060,0.575
5-157,2.34,33.99,0.092,1.338
5-158,2.34,39.37,0.092,1.550
5-159,2.92,68.15,0.115,2.683
5-160,2.62,7.92,0.103,0.312
5-162,1.78,14.07,0.070,0.554
5-164,5.33,308.86,0.210,12.160
5-165,3.53,263.12,0.139,10.359
5-166,3.53,373.94,0.139,14.722
5-167,9.53,604.01,0.375,23.780
5-168,6.35,631.83,0.250,24.875
5-169,5.44,638.89,0.214,25.153
5-170,6.99,647.70,0.275,25.500
5-171,6.99,663.58,0.275,26.125
5-172,6.99,698.12,0.275,27.485
5-173,5.33,665.18,0.210,26.188
5-178,1.02,3.05,0.040,0.120
5-179,1.02,6.07,0.040,0.239
5-180,1.22,6.30,0.048,0.248
5-181,1.02,18.42,0.040,0.725
5-187,0.91,1.78,0.036,0.070
5-190,1.78,3.35,0.070,0.132
5-193,1.02,4.47,0.040,0.176
5-194,1.02,5.79,0.040,0.228
5-197,1.02,6.15,0.040,0.242
5-202,1.17,7.06,0.046,0.278
5-204,0.91,7.92,0.036,0.312
5-205,2.34,7.92,0.092,0.312
5-206,2.62,8.28,0.103,0.326
5-209,1.02,9.40,0.040,0.370
5-211,4.75,9.53,0.187,0.375
5-212,1.78,9.75,0.070,0.384
5-215,2.39,10.62,0.094,0.418
5-218,0.64,10.80,0.025,0.425
5-222,3.25,11.56,0.128,0.455
5-223,1.35,11.63,0.053,0.458
5-225,2.39,11.91,0.094,0.469
5-230,3.18,12.70,0.125,0.500
5-231,1.57,12.73,0.062,0.501
5-239,2.69,14.48,0.106,0.570
5-242,2.67,15.24,0.105,0.600
5-243,2.62,15.34,0.103,0.604
5-247,3.18,15.82,0.125,0.623
5-248,1.27,15.88,0.050,0.625
5-250,1.57,15.93,0.062,0.627
5-251,1.57,16.03,0.062,0.631
5-252,1.78,16.56,0.070,0.652
5-254,1.63,16.76,0.064,0.660
5-256,2.62,17.96,0.103,0.707
5-257,2.87,18.34,0.113,0.722
5-263,1.55,19.05,0.061,0.750
5-264,1.78,19.10,0.070,0.752
5-266,2.03,19.46,0.080,0.766
5-273,1.02,22.33,0.040,0.879
5-278,2.62,24.87,0.103,0.979
5-279,5.54,25.50,0.218,1.004
5-291,1.78,30.12,0.070,1.186
5-294,3.78,30.81,0.149,1.213
5-295,6.99,31.12,0.275,1.225
5-296,1.78,31.22,0.070,1.229
5-297,5.00,31.24,0.197,1.230
5-301,2.34,31.98,0.092,1.259
5-312,2.67,36.93,0.105,1.454
5-320,1.78,39.12,0.070,1.540
5-321,3.53,39.60,0.139,1.559
5-327,3.53,41.66,0.139,1.640
5-329,1.78,42.42,0.070,1.670
5-330,5.33,42.52,0.210,1.674
5-335,1.57,45.77,0.062,1.802
5-337,1.57,47.57,0.062,1.873
5-338,5.33,48.90,0.210,1.925
5-342,0.97,50.29,0.038,1.980
5-343,1.91,50.80,0.075,2.000
5-346,3.53,51.97,0.139,2.046
5-347,1.57,54.94,0.062,2.163
5-348,1.78,55.17,0.070,2.172
5-354,1.78,62.76,0.070,2.471
5-355,2.62,64.11,0.103,2.524
5-358,2.08,65.43,0.082,2.576
5-361,3.53,67.84,0.139,2.671
5-367,2.62,74.27,0.103,2.924
5-368,2.62,76.71,0.103,3.020
5-369,2.62,77.14,0.103,3.037
5-374,1.78,79.04,0.070,3.112
5-380,3.94,85.42,0.155,3.363
5-381,6.99,88.27,0.275,3.475
5-390,3.73,100.51,0.147,3.957
5-394,1.78,104.04,0.070,4.096
5-395,1.78,104.57,0.070,4.117
5-396,1.78,105.94,0.070,4.171
5-401,1.78,115.09,0.070,4.531
5-402,4.78,120.65,0.188,4.750
5-403,2.62,125.22,0.103,4.930
5-407,3.12,133.32,0.123,5.249
5-408,3.53,133.73,0.139,5.265
5-410,1.78,135.64,0.070,5.340
5-412,2.62,137.52,0.103,5.414
5-413,4.17,139.07,0.164,5.475
5-414,1.57,139.37,0.062,5.487
5-416,3.05,141.05,0.120,5.553
5-417,3.23,142.65,0.127,5.616
5-421,2.79,149.40,0.110,5.882
5-428,2.74,161.57,0.108,6.361
5-430,4.32,164.64,0.170,6.482
5-434,6.99,180.54,0.275,7.108
5-438,1.78,193.37,0.070,7.613
5-439,3.18,194.06,0.125,7.640
5-445,6.99,210.24,0.275,8.277
5-450,1.57,230.40,0.062,9.071
5-457,3.53,259.89,0.139,10.232
5-458,3.53,262.64,0.139,10.340
5-464,1.78,270.66,0.070,10.656
5-466,5.33,273.02,0.210,10.749
5-469,2.62,276.43,0.103,10.883
5-471,3.78,279.27,0.149,10.995
5-474,6.99,287.81,0.275,11.331
5-476,6.99,293.67,0.275,11.562
5-480,7.24,305.23,0.285,12.017
5-482,3.53,307.57,0.139,12.109
5-485,3.53,311.40,0.139,12.260
5-486,3.48,312.39,0.137,12.299
5-487,3.53,314.45,0.139,12.380
5-488,2.62,316.56,0.103,12.463
5-492,3.53,336.50,0.139,13.248
5-493,3.53,342.65,0.139,13.490
5-494,5.33,343.94,0.210,13.541
5-496,3.58,345.85,0.141,13.616
5-498,3.53,346.71,0.139,13.650
5-500,6.99,348.44,0.275,13.718
5-502,5.33,357.84,0.210,14.088
5-504,3.53,366.52,0.139,14.430
5-505,3.53,367.54,0.139,14.470
5-506,3.58,370.08,0.141,14.570
5-507,5.33,370.84,0.210,14.600
5-508,3.53,372.72,0.139,14.674
5-512,3.53,385.34,0.139,15.171
5-515,5.33,394.92,0.210,15.548
5-516,3.53,399.80,0.139,15.740
5-517,6.99,400.05,0.275,15.750
5-518,6.50,407.19,0.256,16.031
5-520,3.53,417.45,0.139,16.435
5-522,5.72,419.28,0.225,16.507
5-524,5.33,422.66,0.210,16.640
5-525,3.18,425.83,0.125,16.765
5-526,4.75,438.15,0.187,17.250
5-528,6.15,438.61,0.242,17.268
5-529,3.53,443.36,0.139,17.455
5-533,2.44,461.49,0.096,18.169
5-534,5.33,467.49,0.210,18.405
5-541,6.35,495.30,0.250,19.500
5-547,3.53,547.73,0.139,21.564
5-551,3.53,597.92,0.139,23.540
5-552,6.99,599.74,0.275,23.612
5-557,2.62,79.38,0.103,3.125
5-559,5.44,132.99,0.214,5.236
5-563,1.02,14.81,0.040,0.583
5-566,1.40,12.42,0.055,0.489
5-567,1.78,152.02,0.070,5.985
5-569,3.53,316.87,0.139,12.475
5-571,3.53,412.34,0.139,16.234
5-573,1.78,151.59,0.070,5.968
5-575,1.78,225.43,0.070,8.875
5-578,1.88,2.59,0.074,0.102
5-579,1.88,3.38,0.074,0.133
5-580,1.88,4.19,0.074,0.165
5-581,1.88,4.88,0.074,0.192
5-582,1.88,5.69,0.074,0.224
5-583,1.88,6.38,0.074,0.251
5-584,1.88,7.19,0.074,0.283
5-585,1.88,7.98,0.074,0.314
5-586,1.88,8.89,0.074,0.350
5-587,2.69,8.89,0.106,0.350
5-588,2.69,10.49,0.106,0.413
5-591,2.69,15.09,0.106,0.594
5-592,2.69,16.89,0.106,0.665
5-593,2.69,18.39,0.106,0.724
5-594,3.58,18.29,0.141,0.720
5-595,3.58,19.79,0.141,0.779
5-596,3.58,21.29,0.141,0.838
5-597,3.58,22.99,0.141,0.905
5-598,3.58,24.59,0.141,0.968
5-599,3.58,26.19,0.141,1.031
5-600,3.58,27.79,0.141,1.094
5-601,3.58,29.29,0.141,1.153
5-602,3.58,30.78,0.141,1.212
5-603,3.58,32.49,0.141,1.279
5-604,3.58,34.09,0.141,1.342
5-605,3.58,35.59,0.141,1.401
5-606,3.58,37.29,0.141,1.468
5-609,2.39,15.24,0.094,0.600
5-611,4.04,327.66,0.159,12.900
5-612,1.78,8.74,0.070,0.344
5-613,1.78,11.10,0.070,0.437
5-614,2.62,9.93,0.103,0.391
5-615,2.62,11.91,0.103,0.469
5-616,2.62,13.11,0.103,0.516
5-617,2.62,15.88,0.103,0.625
5-618,3.53,25.81,0.139,1.016
5-619,3.53,328.04,0.139,12.915
5-622,6.99,425.45,0.275,16.750
5-623,3.53,270.00,0.139,10.630
5-624,3.53,358.42,0.139,14.111
5-626,2.21,367.54,0.087,14.470
5-631,3.53,670.76,0.139,26.408
5-632,1.02,2.79,0.040,0.110
5-635,2.62,238.00,0.103,9.370
5-638,1.93,5.92,0.076,0.233
5-642,1.78,52.10,0.070,2.051
5-643,1.14,16.51,0.045,0.650
5-646,1.02,3.20,0.040,0.126
5-652,1.80,12.01,0.071,0.473
5-655,1.78,51.31,0.070,2.020
5-657,2.62,37.21,0.103,1.465
5-664,1.78,8.13,0.070,0.320
5-666,1.78,165.61,0.070,6.520
5-669,1.02,3.71,0.040,0.146
5-670,1.78,36.50,0.070,1.437
5-671,2.03,42.67,0.080,1.680
5-673,1.88,7.75,0.074,0.305
5-675,1.24,12.90,0.049,0.508
5-676,1.47,15.49,0.058,0.610
5-677,2.06,25.50,0.081,1.004
5-682,1.02,10.82,0.040,0.426
5-683,1.60,3.10,0.063,0.122
5-685,2.39,5.28,0.094,0.208
5-686,2.39,6.30,0.094,0.248
5-687,2.39,7.29,0.094,0.287
5-691,1.83,181.33,0.072,7.139
5-696,2.62,180.59,0.103,7.110
5-697,2.03,73.10,0.080,2.878
5-698,1.02,7.19,0.040,0.283
5-699,2.39,8.97,0.094,0.353
5-700,3.00,8.99,0.118,0.354
5-701,3.53,49.20,0.139,1.937
5-702,3.53,58.72,0.139,2.312
5-703,3.53,65.10,0.139,2.563
5-704,3.53,71.42,0.139,2.812
5-705,3.53,74.60,0.139,2.937
5-708,1.14,21.59,0.045,0.850
5-709,1.40,25.40,0.055,1.000
5-710,1.37,7.65,0.054,0.301
5-712,1.30,7.95,0.051,0.313
5-716,3.00,9.19,0.118,0.362
5-718,1.02,10.03,0.040,0.395
5-726,1.42,12.29,0.056,0.484
5-735,2.62,14.81,0.103,0.583
5-736,1.78,14.99,0.070,0.590
5-743,3.58,16.76,0.141,0.660
5-751,3.81,20.83,0.150,0.820
5-753,3.12,21.77,0.123,0.857
5-761,1.57,25.65,0.062,1.010
5-763,1.27,27.43,0.050,1.080
5-780,1.85,35.86,0.073,1.412
5-788,1.80,40.41,0.071,1.591
5-794,1.78,46.02,0.070,1.812
5-795,1.78,46.99,0.070,1.850
5-796,1.78,48.59,0.070,1.913
5-800,6.99,56.52,0.275,2.225
5-805,1.78,64.39,0.070,2.535
5-807,2.62,70.66,0.103,2.782
5-810,1.57,77.24,0.062,3.041
5-811,2.84,77.72,0.112,3.060
5-813,2.54,79.50,0.100,3.130
5-815,1.52,80.16,0.060,3.156
5-816,1.78,80.31,0.070,3.162
5-819,2.62,81.53,0.103,3.210
5-821,1.78,83.82,0.070,3.300
5-825,6.99,85.09,0.275,3.350
5-828,2.29,92.99,0.090,3.661
5-831,3.73,102.11,0.147,4.020
5-833,2.62,103.76,0.103,4.085
5-836,3.56,112.45,0.140,4.427
5-840,3.53,117.60,0.139,4.630
5-842,3.10,118.47,0.122,4.664
5-844,3.56,118.92,0.140,4.682
5-848,1.52,123.83,0.060,4.875
5-850,6.60,125.10,0.260,4.925
5-851,3.73,126.59,0.147,4.984
5-852,5.33,127.76,0.210,5.030
5-853,5.92,128.45,0.233,5.057
5-855,3.15,138.28,0.124,5.444
5-856,1.78,138.81,0.070,5.465
5-858,4.27,139.70,0.168,5.500
5-862,6.40,147.04,0.252,5.789
5-863,3.56,147.70,0.140,5.815
5-869,3.53,167.87,0.139,6.609
5-873,1.78,183.64,0.070,7.230
5-875,5.33,192.53,0.210,7.580
5-876,5.33,194.92,0.210,7.674
5-877,2.64,198.17,0.104,7.802
5-880,6.99,212.09,0.275,8.350
5-882,5.33,232.71,0.210,9.162
5-883,2.62,249.43,0.103,9.820
5-884,1.78,253.59,0.070,9.984
5-885,3.53,258.34,0.139,10.171
5-886,2.84,258.52,0.112,10.178
5-887,6.99,262.71,0.275,10.343
5-889,2.64,263.45,0.104,10.372
5-890,2.62,269.39,0.103,10.606
5-891,3.53,272.64,0.139,10.734
5-894,2.62,279.30,0.103,10.996
5-898,2.62,287.91,0.103,11.335
5-900,4.75,304.80,0.187,12.000
5-901,3.53,310.74,0.139,12.234
5-902,5.33,313.94,0.210,12.360
5-905,3.56,320.62,0.140,12.623
5-906,1.78,322.71,0.070,12.705
5-907,6.99,323.22,0.275,12.725
5-908,3.53,326.14,0.139,12.840
5-910,5.33,339.73,0.210,13.375
5-912,3.53,348.84,0.139,13.734
5-920,4.45,375.41,0.175,14.780
5-921,1.80,375.79,0.071,14.795
5-924,5.33,391.41,0.210,15.410
5-925,4.78,392.81,0.188,15.465
5-930,6.35,413.64,0.250,16.285
5-935,6.99,434.34,0.275,17.100
5-937,3.53,441.71,0.139,17.390
5-939,5.33,453.90,0.210,17.870
5-943,6.99,479.30,0.275,18.870
5-944,3.53,479.55,0.139,18.880
5-947,3.53,492.25,0.139,19.380
5-948,5.33,501.02,0.210,19.725
5-950,3.53,506.98,0.139,19.960
5-953,3.35,567.94,0.132,22.360
5-955,6.99,731.55,0.275,28.801
5-964,2.77,18.90,0.109,0.744
5-975,6.60,188.60,0.260,7.425
5-976,6.60,264.80,0.260,10.425
5-979,6.99,87.45,0.275,3.443
5-980,6.99,37.47,0.275,1.475
5-981,6.99,46.99,0.275,1.850
5-982,6.99,69.22,0.275,2.725
5-984,6.99,81.92,0.275,3.225
5-985,6.99,91.44,0.275,3.600
5-986,6.99,94.62,0.275,3.725
5-987,6.99,100.97,0.275,3.975
5-988,6.99,104.14,0.275,4.100
5-989,6.99,107.32,0.275,4.225
5-1002,4.42,6.07,0.174,0.239
5-1004,1.14,7.37,0.045,0.290
5-1006,1.78,8.18,0.070,0.322
5-1007,1.27,8.38,0.050,0.330
5-1010,3.53,523.47,0.139,20.609
5-1011,2.62,11.35,0.103,0.447
5-1014,1.80,13.34,0.071,0.525
5-1018,3.53,42.44,0.139,1.671
5-1023,1.78,45.42,0.070,1.788
5-1028,6.35,30.23,0.250,1.190
5-1041,2.62,152.98,0.103,6.023
5-1042,6.53,46.15,0.257,1.817
5-1043,3.00,47.80,0.118,1.882
5-1044,3.53,52.32,0.139,2.060
5-1046,8.00,54.36,0.315,2.140
5-1047,2.36,57.94,0.093,2.281
5-1052,2.82,78.23,0.111,3.080
5-1053,1.78,85.19,0.070,3.354
5-1054,5.31,103.63,0.209,4.080
5-1060,3.81,117.07,0.150,4.609
5-1097,2.62,349.25,0.103,13.750
5-1100,3.53,444.50,0.139,17.500
5-1102,5.33,463.93,0.210,18.265
5-1104,4.78,469.90,0.188,18.500
5-1105,3.53,473.33,0.139,18.635
